Unnamed: 0,2023-06-01 15:41:56,2023-06-02 09:59:05,2023-06-02 10:03:45,2023-06-02 10:05:01,2023-06-02 10:30:18,2023-06-02 13:50:21,2023-06-02 14:00:09,2023-06-02 14:03:13,2023-06-02 14:11:41,2023-06-02 14:30:17,2023-06-02 15:00:20,2023-06-02 15:30:10,2023-06-02 16:00:18,2023-06-02 16:30:13,2023-06-02 19:53:57,2023-06-05 09:30:20,2023-06-05 10:00:14,2023-06-05 10:30:26,2023-06-05 11:00:18,2023-06-05 11:30:11
13.0,donald trump plans 2024 fundraising swing from georgia to his nj golf course,Twitter trust safety chief Ella Irwin resigns,"Bitcoin posted worst month since November, network activity saw record highs",Twitter trust safety chief Ella Irwin resigns,"SUNY sends college acceptance letters 125,000 high school seniors",Unemployment dropped among Hispanic men women May,West Coast ports shut union workers walk job wages,"States sue 3M, DuPont toxic 'forever chemicals' found drinking water","States sue 3M, DuPont toxic 'forever chemicals' found drinking water",Nvidia’s rise changed biggest momentum ETF,News potential Beijing stimulus boosts Club's China-exposed names,Bank America highlights 7 stocks behind year's market gains,Questions markets next week center Fed derailment skinny rally,Tech stocks close first six-week rally since January 2020,YouTube stop removing false claims 2020 election fraud,S&P 500 rises fresh 9-month high led Apple,new lithium extraction tech could help us meet electric vehicle targets,GM invest $1 billion produce new heavy-duty pickups,Mike Pence files paperwork launch 2024 Republican presidential campaign,"Apple’s reveal VR headset, new iPhone software more: Follow along live updates"
14.0,actor mark wahlberg lobbies to make las vegas a hollywood in the desert,Here’s jobs May 2023 — one chart,Billionaire Tom Siebel faces mounting controversy A.I. software vendor C3.ai,Here’s jobs May 2023 — one chart,manage big retirement risk amid health-care inflation,"Morgan Stanley: Apple unveil $20 billion platform, ups price target","23-year-old's ice cream empire brings $650,000 year—here's","Dow soars 700 points, heads best day 2023","Dow soars 700 points, heads best day 2023",Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,Crypto bill Republicans lays clear roles SEC CFTC,"23-year-old's ice cream empire brings $650,000 year—here's","Traders betting short-term reversal chip stocks, ETF flows show","Stocks making biggest moves midday: Lululemon, SentinelOne",News potential Beijing stimulus boosts Club's China-exposed names,"Citi upgrades Ford buy, sees nearly 30% upside auto sales outlook improves",CNN CEO Chris Licht apologizes staff internal Monday morning call,Moderna vaccine used Keytruda reduces risk deadly skin cancer spreading,CNN CEO Chris Licht apologizes staff internal Monday morning call,"Spotify lays 200 employees, 2% workforce"
15.0,why do some companies have weird fiscal years that dont align with the calendar,"Traders betting short-term reversal chip stocks, ETF flows show","JPMorgan raises 2024 GDP forecast India, says headwinds remain","Traders betting short-term reversal chip stocks, ETF flows show",Treasury yields hold steady Senate passes debt ceiling bill,Telecom stocks fall report Amazon considers launching Prime wireless service,child psychiatrist shares 4 ways moderate kids' social media use,Pence charged DOJ probe classified documents found home,Pence charged DOJ probe classified documents found home,93% CEOs preparing recession—what means,Arizona sets limits construction around Phoenix groundwater dwindles,Here's first-quarter earnings report card every stock portfolio,1 3 parents worries taking advantage flexible work hurt careers,News potential Beijing stimulus boosts Club's China-exposed names,93% CEOs preparing recession—what means,Air travel disrupted 'very frustrating' supply chain issues: IATA,"Spotify lays 200 employees, 2% workforce","Stock markets ignoring 'laundry list' risks, strategist says","China may 'disruptive' fueling anxiety — talks must continue, defense chiefs say",Use 401(k) investing strategy calm market jitters
16.0,uber crowded trades from professional investors are crushing the market,"JPMorgan raises 2024 GDP forecast India, says headwinds remain",Consumers likely cut back restaurant visits trade,"JPMorgan raises 2024 GDP forecast India, says headwinds remain",5 things know stock market opens Friday,News potential Beijing stimulus boosts Club's China-exposed names,Google says Gmail phone got lot faster thanks A.I.,Here’s jobs May 2023 — one chart,Here’s jobs May 2023 — one chart,"bull case Saudi Arabia stocks growing, risks remain","Dow soars nearly 700 points, heads best day 2023",Pence charged DOJ probe classified documents found home,"Stocks making biggest moves midday: Lululemon, SentinelOne","States sue 3M, DuPont toxic 'forever chemicals' found drinking water",Pence charged DOJ probe classified documents found home,KeyBanc downgrades Target potential margin hit student loan payments,Formula One rally nearly 40% thanks favorable commercial rights deal,S&P 500 rises fresh 9-month high led Apple,stock market advance depends rally broadening,"Watch natural gas stock 50% upside, Morgan Stanley says"
17.0,pentagon awards spacex with ukraine contract for starlink satellite internet,manage big retirement risk amid health-care inflation,Telecom stocks fall report Amazon considers launching Prime wireless service,manage big retirement risk amid health-care inflation,Zelenskyy ramps pressure NATO membership; Russia says border villages shelled,West Coast ports shut union workers walk job wages,"Bitcoin posted worst month since November, network activity saw record highs","Diamond Sports must pay four MLB teams full, bankruptcy judge says","Diamond Sports must pay four MLB teams full, bankruptcy judge says",Pence charged DOJ probe classified documents found home,Here’s jobs May 2023 — one chart,YouTube stop removing false claims 2020 election fraud,"States sue 3M, DuPont toxic 'forever chemicals' found drinking water","Traders betting short-term reversal chip stocks, ETF flows show",1 3 parents worries taking advantage flexible work hurt careers,Democrats warn Musk Twitter safety execs leave,"Treasury yields rise investors weigh interest rate outlook, key economic data","Oppenheimer downgrades Estee Lauder, says gains harder come",5 things know stock market opens Monday,CNN CEO Chris Licht apologizes staff internal Monday morning call
18.0,why iran keeps seizing oil tankers in the strait of hormuz,"Friday's top analyst calls: Apple, Amazon, Broadcom, Bowlero, Microsoft, Rivian",Twitter trust safety chief Ella Irwin resigns,"Friday's top analyst calls: Apple, Amazon, Broadcom, Bowlero, Microsoft, Rivian",Costco $1.50 hot dog—4 products beaten inflation,Here’s jobs May 2023 — one chart,Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,"Traders betting short-term reversal chip stocks, ETF flows show","Traders betting short-term reversal chip stocks, ETF flows show","Stocks making biggest moves midday: Lululemon, SentinelOne","States sue 3M, DuPont toxic 'forever chemicals' found drinking water","Dow leaps 700 points hot jobs report, Nasdaq notches sixth straight winning week","wealthy Americans love UBS, secretive Swiss banking giant",child psychiatrist shares 4 ways moderate kids' social media use,Calif. Dem opposed anti-tech bills top contender key antitrust role,Apple hits record high ahead VR headset unveiling,GM invest $1 billion produce new heavy-duty pickups,KeyBanc downgrades Target potential margin hit student loan payments,Moderna vaccine used Keytruda reduces risk deadly skin cancer spreading,Evercore ISI raises market outlook gives 'Momentum Masters' stocks play
19.0,fortinet and more cnbcs halftime report traders answer your questions,Zelenskyy ramps pressure NATO membership; Russia says border villages shelled,Zelenskyy ramps pressure NATO membership; Russia says border villages shelled,Zelenskyy ramps pressure NATO membership; Russia says border villages shelled,OPEC+ prepares weekend meeting Saudi warns speculators 'watch out',Telecom stocks fall report Amazon considers launching mobile service Prime members,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Three cruise stocks among week's best performers summer approaches,Three cruise stocks among week's best performers summer approaches,Unemployment dropped among Hispanic men women May,Here's first-quarter earnings report card every stock portfolio,"Even inflation rate subsides, prices may stay higher. Here's",93% CEOs preparing recession—what means,"23-year-old's ice cream empire brings $650,000 year—here's",Three cruise stocks among week's best performers summer approaches,"Monday's top analyst calls: Apple, Tesla, Meta, Micron, Bowlero, Nike, Disney",Jim Cramer's top 10 things watch stock market Monday,Formula One rally nearly 40% thanks favorable commercial rights deal,Evercore ISI raises market outlook gives 'Momentum Masters' stocks play,"Stocks making biggest moves premarket: Palo Alto Networks, Apple, Target"
20.0,nyus damodaran says he sold half his nvidia stake for one simple reason,"Stocks making biggest moves premarket: SentinelOne, Lululemon, Dupont",Consumers keep traveling despite recession fears inflation,"Stocks making biggest moves premarket: SentinelOne, Lululemon, Dupont",JPMorgan downgrades electric utility stock rising regulatory risks,Bank America highlights 7 stocks behind year's market gains,"Stocks making biggest moves midday: Lululemon, SentinelOne","Morgan Stanley: Apple unveil $20 billion platform, ups price target","Morgan Stanley: Apple unveil $20 billion platform, ups price target","Diamond Sports must pay four MLB teams full, bankruptcy judge says","Traders betting short-term reversal chip stocks, ETF flows show",93% CEOs preparing recession—what means,Here's first-quarter earnings report card every stock portfolio,Arizona sets limits construction around Phoenix groundwater dwindles,Elon Musk Twitter face growing brand-safety concerns execs depart,CNN CEO Chris Licht apologizes staff internal Monday morning call,S&P 500 rises fresh 9-month high led Apple,RFK Jr.'s presidential bid gains boost Silicon Valley elite,"Ivy League acceptance rates 'may bottomed out,' expert says",Democrats warn Musk Twitter safety execs leave
21.0,were encouraged by positive developments around two stocks that we really like,Telecom stocks fall report Amazon considers launching Prime wireless service,"Friday's top analyst calls: Apple, Amazon, Broadcom, Bowlero, Microsoft, Rivian",Telecom stocks fall report Amazon considers launching Prime wireless service,Telecom stocks fall report Amazon considers launching mobile service Prime members,Here's first-quarter earnings report card every stock portfolio,1 3 parents worries taking advantage flexible work hurt careers,"SUNY sends college acceptance letters 125,000 high school seniors","SUNY sends college acceptance letters 125,000 high school seniors","Traders betting short-term reversal chip stocks, ETF flows show",YouTube stop removing false claims 2020 election fraud,Crypto bill Republicans lays clear roles SEC CFTC,Here’s jobs May 2023 — one chart,Unemployment dropped among Hispanic men women May,"Dow leaps 700 points hot jobs report, Nasdaq notches sixth straight winning week",new lithium extraction tech could help us meet electric vehicle targets,KeyBanc downgrades Target potential margin hit student loan payments,"We're locking huge gain one stock, plus catalyst hits",Apple hits record high ahead VR headset unveiling,S&P 500 rises fresh 9-month high led Apple
22.0,defense spending levels threaten to delay senate plan to fasttrack debt ceiling bill,"start teaching kids money, according experts","Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy, one bidder looks save stores","start teaching kids money, according experts","Payrolls rose 339,000 May, much better expected resilient labor market",Jim Cramer's top 10 things watch stock market Friday,Nvidia’s rise changed biggest momentum ETF,Google says Gmail phone got lot faster thanks A.I.,Google says Gmail phone got lot faster thanks A.I.,News potential Beijing stimulus boosts Club's China-exposed names,Three cruise stocks among week's best performers summer approaches,"Stocks making biggest moves midday: Lululemon, SentinelOne",West Coast ports shut union workers walk job wages,Nvidia’s rise changed biggest momentum ETF,Arizona sets limits construction around Phoenix groundwater dwindles,"Treasury yields rise investors weigh interest rate outlook, key economic data",Universal basic income could coming U.K. — here's,World Bank betting company 'green' $1.6 trillion steel industry,SEC sues Binance CEO Changpeng Zhao U.S. securities violations,RFK Jr.'s presidential bid gains boost Silicon Valley elite
23.0,money stored in payment apps such as venmo may be more vulnerable cfpb says,Atlantic Equities downgrades music stock A.I. threatens revenue growth,"Buy Broadcom thanks undervalued AI portfolio, BofA says",Atlantic Equities downgrades music stock A.I. threatens revenue growth,"Friday's top analyst calls: Apple, Amazon, Broadcom, Bowlero, Microsoft, Rivian",1 3 parents worries taking advantage flexible work hurt careers,Unemployment dropped among Hispanic men women May,Telecom stocks fall report Amazon considers launching Prime wireless service,Telecom stocks fall report Amazon considers launching Prime wireless service,"Even inflation rate subsides, prices may stay higher. Here's",Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,West Coast ports shut union workers walk job wages,FDA allows import unapproved Chinese chemotherapy drug ease U.S. shortage,Here’s jobs May 2023 — one chart,"Stocks making biggest moves midday: Lululemon, SentinelOne",World Bank betting company 'green' $1.6 trillion steel industry,JPMorgan upgrades bank limited exposure commercial real estate,Italy bargain vacationing Americans. much Italians,"Stocks making biggest moves premarket: Palo Alto Networks, Apple, Target",Cramer urges patience: 'It make lot sense get run'
24.0,get ready to sell nasdaq stocks according to wall street seasonal theory,JPMorgan downgrades electric utility stock rising regulatory risks,5 things know stock market opens Friday,JPMorgan downgrades electric utility stock rising regulatory risks,"Stocks making biggest moves premarket: SentinelOne, Lululemon, Dupont",Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,93% CEOs preparing recession—what means,"23-year-old's ice cream empire brings $650,000 year—here's","23-year-old's ice cream empire brings $650,000 year—here's","States sue 3M, DuPont toxic 'forever chemicals' found drinking water",1 3 parents worries taking advantage flexible work hurt careers,"Morgan Stanley: Apple unveil $20 billion platform, ups price target",News potential Beijing stimulus boosts Club's China-exposed names,"bull case Saudi Arabia stocks growing, risks remain","Morgan Stanley: Apple unveil $20 billion platform, ups price target",GM invest $1 billion produce new heavy-duty pickups,"Stocks making biggest moves premarket: Palo Alto Networks, Apple, Target","Monday's top analyst calls: Apple, Tesla, Meta, Micron, Bowlero, Nike, Disney",JPMorgan upgrades bank limited exposure commercial real estate,Apple shares pace record high ahead VR headset unveiling
25.0,heres what earnings from industry rivals mean for two club names,Telecom stocks fall report Amazon considers launching mobile service Prime members,OPEC+ prepares weekend meeting Saudi warns speculators 'watch out',Telecom stocks fall report Amazon considers launching mobile service Prime members,Consumers likely cut back restaurant visits trade,"Dow soars 700 points strong jobs report, stocks head winning week","States sue 3M, DuPont toxic 'forever chemicals' found drinking water",Atlantic Equities downgrades music stock A.I. threatens revenue growth,Atlantic Equities downgrades music stock A.I. threatens revenue growth,Arizona sets limits construction around Phoenix groundwater dwindles,Atlantic Equities downgrades music stock A.I. threatens revenue growth,1 3 parents worries taking advantage flexible work hurt careers,Google says Gmail phone got lot faster thanks A.I.,Lululemon shares surge earnings beat. play stock,Tech stocks close first six-week rally since January 2020,Jim Cramer's top 10 things watch stock market Monday,"Watch natural gas stock 50% upside, Morgan Stanley says",Democrats warn Musk Twitter safety execs leave,RFK Jr.'s presidential bid gains boost Silicon Valley elite,"Stock markets ignoring 'laundry list' risks, strategist says"
26.0,these jobsrelated names are underperforming  and could signal a slowdown ahead,Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,Atlantic Equities downgrades music stock A.I. threatens revenue growth,Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,"Traders betting short-term reversal chip stocks, ETF flows show",93% CEOs preparing recession—what means,Atlantic Equities downgrades music stock A.I. threatens revenue growth,Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,Telecom stocks fall report Amazon considers launching mobile service Prime members,Unemployment dropped among Hispanic men women May,Atlantic Equities downgrades music stock A.I. threatens revenue growth,"SUNY sends college acceptance letters 125,000 high school seniors","Dow leaps 700 points hot jobs report, Nasdaq notches sixth straight winning week",Unemployment dropped among Hispanic men women May,Moderna vaccine used Keytruda reduces risk deadly skin cancer spreading,Air travel disrupted 'very frustrating' supply chain issues: IATA,JPMorgan upgrades bank limited exposure commercial real estate,"Monday's top analyst calls: Apple, Tesla, Meta, Micron, Bowlero, Nike, Disney",new lithium extraction tech could help us meet electric vehicle targets
27.0,why apples vr headset could succeed where every similar product has failed,Consumers keep traveling despite recession fears inflation,"Stocks making biggest moves premarket: SentinelOne, Lululemon, Dupont",Consumers keep traveling despite recession fears inflation,Europe stocks climb U.S. debt ceiling deal; Swedish property group SBB soars 30%,"SUNY sends college acceptance letters 125,000 high school seniors","Dow soars 700 points, heads best day 2023",Telecom stocks fall report Amazon considers launching mobile service Prime members,Telecom stocks fall report Amazon considers launching mobile service Prime members,Three cruise stocks among week's best performers summer approaches,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,"Traders betting short-term reversal chip stocks, ETF flows show",Pence charged DOJ probe classified documents found home,Questions markets next week center Fed derailment skinny rally,Crypto bill Republicans lays clear roles SEC CFTC,U.S. China trade barbs top security summit Taiwan Strait tensions simmer,Italy bargain vacationing Americans. much Italians,stock market advance depends rally broadening,Italy bargain vacationing Americans. much Italians,Mike Pence files paperwork launch 2024 Republican presidential campaign
28.0,cnns new coo underscores bond between ceo chris licht and wbd boss david zaslav,Europe stocks climb U.S. debt ceiling deal; Swedish property group SBB soars 30%,"Payrolls rose 339,000 May, much better expected resilient labor market",Europe stocks climb U.S. debt ceiling deal; Swedish property group SBB soars 30%,"Even inflation rate subsides, prices may stay higher. Here's",Atlantic Equities downgrades music stock A.I. threatens revenue growth,Arizona sets limits construction around Phoenix groundwater dwindles,News potential Beijing stimulus boosts Club's China-exposed names,News potential Beijing stimulus boosts Club's China-exposed names,Bank America highlights 7 stocks behind year's market gains,Telecom stocks fall report Amazon considers launching mobile service Prime members,Psychologist: 3 ways deal power-hungry co-worker,"bull case Saudi Arabia stocks growing, risks remain",Pence charged DOJ probe classified documents found home,Psychologist: 3 ways deal power-hungry co-worker,CNBC Daily Open: Goldilocks jobs market?,"Citi upgrades Ford buy, sees nearly 30% upside auto sales outlook improves",5 things know stock market opens Monday,"Watch natural gas stock 50% upside, Morgan Stanley says",GM invest $1 billion produce new heavy-duty pickups
